Country,Year,GDP (USD),Population,Life Expectancy,Unemployment Rate (%),CO2 Emissions (metric tons per capita),Access to Electricity (%)
Brazil,2010,1493220000000.0,829020000.0,66.7,3.81,10.79,76.76
Japan,2011,17562700000000.0,897010000.0,61.4,17.98,15.67,67.86
India,2012,16426880000000.002,669850000.0,69.1,16.02,2.08,81.08
Mexico,2013,11890010000000.0,113800000.0,80.1,6.26,19.13,53.46
India,2014,2673020000000.0,29710000.0,62.7,3.1,15.66,82.17
United Kingdom,2015,10711800000000.0,722560000.0,74.6,23.24,7.55,64.48
China,2016,6791480000000.0,1492810000.0,84.6,15.59,10.18,78.46
Indonesia,2017,9467220000000.0,118240000.0,80.9,10.91,2.87,61.41
United Kingdom,2018,13514030000000.0,1461580000.0,57.0,3.29,9.29,98.05
India,2019,14257200000000.0,802050000.0,59.9,18.61,19.1,92.8
Canada,2010,13802700000000.0,909050000.0,75.4,16.03,4.95,59.87
Argentina,2011,19337350000000.0,1084140000.0,55.7,19.14,15.86,71.43
India,2012,10492360000000.0,818780000.0,54.8,2.83,16.49,89.31
Nigeria,2013,6052290000000.0,447700000.0,82.5,8.56,14.32,98.22
Italy,2014,5800450000000.0,238740000.0,63.1,6.24,16.54,68.43
Indonesia,2015,10058870000000.0,348990000.0,62.4,6.82,5.43,99.76
Turkey,2016,6110370000000.0,257480000.00000003,84.6,4.08,7.08,65.68
Saudi Arabia,2017,15038000000000.0,1285920000.0,64.8,6.12,14.07,59.02
Nigeria,2018,11718130000000.0,158310000.0,65.2,18.78,16.61,89.47
Saudi Arabia,2019,12988290000000.0,766880000.0,84.9,16.91,3.41,66.31
Saudi Arabia,2010,11649850000000.0,1041990000.0,73.6,3.2,7.29,59.27
Russia,2011,6110630000000.0,932420000.0,71.6,6.56,0.81,82.59
France,2012,8354820000000.0,227020000.0,63.5,5.37,13.85,56.94
China,2013,17735350000000.0,578590000.0,82.6,18.97,10.62,57.82
United States,2014,13183730000000.0,1279810000.0,64.8,10.97,9.72,90.13
Argentina,2015,1549940000000.0,1304040000.0,52.4,11.64,17.15,59.42
Germany,2016,7563440000000.0,1344860000.0,77.0,10.91,13.91,72.79
Italy,2017,18064210000000.0,931890000.0,61.4,14.99,17.61,58.46
Mexico,2018,18120300000000.0,1013430000.0,53.0,24.12,7.01,88.9
United Kingdom,2019,7731710000000.0,354840000.0,68.7,21.3,3.16,58.83
